"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 10 15:00:20 CST 2020","Tue Mar 10 15:00:21 CST 2020","1002","baidu","test_2","","","","test_07",""
"passed","Tue Mar 10 15:00:19 CST 2020","Tue Mar 10 15:00:20 CST 2020","1000","baidu","test_2","","","","test_06",""
